DatasetID,Taxon,Latitude,Longitude,yr20750,yr20250,yr19750,yr19250,yr18750,yr18250,yr17750,yr17250,yr16750,yr16250,yr15750,yr15250,yr14750,yr14250,yr13750,yr13250,yr12750,yr12250,yr11750,yr11250,yr10750,yr10250,yr9750,yr9250,yr8750,yr8250,yr7750,yr7250,yr6750,yr6250,yr5750,yr5250,yr4750,yr4250,yr3750,yr3250,yr2750,yr2250,yr1750,yr1250,yr750,yr250
772,tsuga,41.9327,-70.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294985251,0,0,0.161812298,0.531914894,0,1.74513335,1.095233039,1.405957184,2.089552239,2.335062568,3.005464481,4.728070175,4.399488715,3.426124197,2.676586979,0,0.213675214,1.354396818,0,1.536366388,2.304147465,2.827763496,2.797202797,1.141765002
772,tsuga,41.9327,-70.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294985251,0,0,0.161812298,0.531914894,0,1.74513335,1.095233039,1.405957184,2.089552239,2.335062568,3.005464481,4.728070175,4.399488715,3.426124197,2.676586979,0,0.213675214,1.354396818,0,1.536366388,2.304147465,2.827763496,2.797202797,1.141765002
773,picea,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67664671,0,8.181318407,46.56084656,39.51484509,14.22121896,7.191590341,4.09389742,5.927342256,1.147227533,0,1.548672566,0,1.5625,0,0.73800738,0.698080279,0.714285714,1.558840923,1.338432122,2.551834131,2.819956616,3.779220779,0,16.12903226,11.47186147
773,quercus,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.994011976,0,0.885226648,0.793650794,4.379661503,8.803611738,4.110236281,4.290876242,5.736137667,7.265774379,0,3.318584071,0,1.953125,0,3.136531365,3.664921466,2.142857143,2.772324069,1.912045889,1.275917065,0.867678959,1.757575758,0,2.995391705,1.082251082
773,fagus,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225733634,0,0,0.382409178,0.573613767,0,0.663716814,0,0.78125,0,1.291512915,1.919720768,1.071428571,2.723832052,2.676864245,7.01754386,2.819956616,3.623376623,0,4.147465438,0.865800866
773,tsuga,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299401198,0,0.250512269,0.793650794,0.297619048,0,0.192554557,0.409013349,1.529636711,0.764818356,0,5.309734513,0,8.59375,0,10.33210332,0.698080279,0.714285714,0.645771733,2.294455067,3.668261563,2.386117137,3.80952381,0,2.764976959,1.082251082
773,tsuga,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299401198,0,0.250512269,0.793650794,0.297619048,0,0.192554557,0.409013349,1.529636711,0.764818356,0,5.309734513,0,8.59375,0,10.33210332,0.698080279,0.714285714,0.645771733,2.294455067,3.668261563,2.386117137,3.80952381,0,2.764976959,1.082251082
773,tsuga,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299401198,0,0.250512269,0.793650794,0.297619048,0,0.192554557,0.409013349,1.529636711,0.764818356,0,5.309734513,0,8.59375,0,10.33210332,0.698080279,0.714285714,0.645771733,2.294455067,3.668261563,2.386117137,3.80952381,0,2.764976959,1.082251082
773,tsuga,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299401198,0,0.250512269,0.793650794,0.297619048,0,0.192554557,0.409013349,1.529636711,0.764818356,0,5.309734513,0,8.59375,0,10.33210332,0.698080279,0.714285714,0.645771733,2.294455067,3.668261563,2.386117137,3.80952381,0,2.764976959,1.082251082
773,tsuga,45.85,-70.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299401198,0,0.250512269,0.793650794,0.297619048,0,0.192554557,0.409013349,1.529636711,0.764818356,0,5.309734513,0,8.59375,0,10.33210332,0.698080279,0.714285714,0.645771733,2.294455067,3.668261563,2.386117137,3.80952381,0,2.764976959,1.082251082
774,picea,47.708333,-91.641667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.748229385
774,quercus,47.708333,-91.641667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.911722366
774,tsuga,47.708333,-91.641667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360102093
774,tsuga,47.708333,-91.641667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360102093
774,tsuga,47.708333,-91.641667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360102093
774,tsuga,47.708333,-91.641667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360102093
774,tsuga,47.708333,-91.641667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360102093
776,picea,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.94799054,0,0.666666667,0.655021834,0,0.377833753,0.199600798,0.200803213,0.540594484,0.432071957,0.345960302,0.625203846,0.900900901,0,0,0.466200466,0,4.105571848,0,0,4.088019319,5.225488319
776,quercus,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127659574,0,27.77777778,23.79912664,12.78026906,15.73693654,8.582834331,8.232931727,9.096640087,6.881233191,6.875444873,4.440738852,5.855855856,6.103286385,0,6.526806527,0,4.398826979,0,0,5.439603765,4.172593971
776,fagus,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218340611,0,0.251889169,0,1.807228916,1.195344218,2.06931465,3.153656537,6.621143007,8.108108108,10.09389671,0,22.61072261,0,14.6627566,0,0,11.0837317,9.679173278
776,tsuga,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236406619,0,0.666666667,0.218340611,1.569506726,3.785058472,5.588822355,2.81124498,9.554234697,9.58995678,9.057978773,9.066833878,10.13513514,6.103286385,0,7.692307692,0,9.090909091,0,0,7.949953181,6.974612901
776,tsuga,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236406619,0,0.666666667,0.218340611,1.569506726,3.785058472,5.588822355,2.81124498,9.554234697,9.58995678,9.057978773,9.066833878,10.13513514,6.103286385,0,7.692307692,0,9.090909091,0,0,7.949953181,6.974612901
776,tsuga,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236406619,0,0.666666667,0.218340611,1.569506726,3.785058472,5.588822355,2.81124498,9.554234697,9.58995678,9.057978773,9.066833878,10.13513514,6.103286385,0,7.692307692,0,9.090909091,0,0,7.949953181,6.974612901
776,tsuga,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236406619,0,0.666666667,0.218340611,1.569506726,3.785058472,5.588822355,2.81124498,9.554234697,9.58995678,9.057978773,9.066833878,10.13513514,6.103286385,0,7.692307692,0,9.090909091,0,0,7.949953181,6.974612901
