county,precinct,office,district,party,candidate,votes,vtd
Ford,Grandview Township Ward 2 H119,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,120090
Ford,Grandview Township Ward 2 H119,State Senate,38,Republican,"Estes, Bud",3,120090
Ford,Dodge City Precinct 03 H115,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,120100
Ford,Dodge City Precinct 03 H115,State Senate,38,Republican,"Estes, Bud",0,120100
Ford,Dodge City Township C H115,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,120110
Ford,Dodge City Township C H115,State Senate,38,Republican,"Estes, Bud",0,120110
Ford,Dodge City Township W H119,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,120120
Ford,Dodge City Township W H119,State Senate,38,Republican,"Estes, Bud",1,120120
Ford,Dodge City Precinct 09,State Senate,38,Democratic,"Rodriguez, Miguel Angel",7,120130
Ford,Dodge City Precinct 09,State Senate,38,Republican,"Estes, Bud",12,120130
Ford,Dodge City Precinct 10,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,120140
Ford,Dodge City Precinct 10,State Senate,38,Republican,"Estes, Bud",0,120140
Ford,Dodge City Precinct 02,State Senate,38,Democratic,"Rodriguez, Miguel Angel",169,130010
Ford,Dodge City Precinct 02,State Senate,38,Republican,"Estes, Bud",164,130010
Ford,Dodge City Precinct 05,State Senate,38,Democratic,"Rodriguez, Miguel Angel",317,130020
Ford,Dodge City Precinct 05,State Senate,38,Republican,"Estes, Bud",939,130020
Ford,Dodge City Precinct 07,State Senate,38,Democratic,"Rodriguez, Miguel Angel",18,600010
Ford,Dodge City Precinct 07,State Senate,38,Republican,"Estes, Bud",64,600010
Ford,Dodge City Precinct 08,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,800010
Ford,Dodge City Precinct 08,State Senate,38,Republican,"Estes, Bud",0,800010
Ford,Bloom Township,President,,independent,"Stein, Jill",0,10
Ford,Bloom Township,President,,Write-ins,"Basiago, Andrew D.",0,10
Ford,Bloom Township,President,,Write-ins,"Castle, Darrell L",0,10
Ford,Bloom Township,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,10
Ford,Bloom Township,President,,Write-ins,"Giordani, Rocky",0,10
Ford,Bloom Township,President,,Write-ins,"Hedges, James A",0,10
Ford,Bloom Township,President,,Write-ins,"Hoefling, Tom",0,10
Ford,Bloom Township,President,,Write-ins,"Kahn, Lynn",0,10
Ford,Bloom Township,President,,Write-ins,"La Riva, Gloria",0,10
Ford,Bloom Township,President,,Write-ins,"Levinson, Michael S.",0,10
Ford,Bloom Township,President,,Write-ins,"Maturen, Michael A",0,10
Ford,Bloom Township,President,,Write-ins,"McMullin, Evan",0,10
Ford,Bloom Township,President,,Write-ins,"Moorehead, Monica G.",0,10
Ford,Bloom Township,President,,Write-ins,"Perry, Darryl",0,10
Ford,Bloom Township,President,,Write-ins,"Schoenke, Marshall R.",0,10
Ford,Bloom Township,President,,Write-ins,"Schriner, Joe C",0,10
Ford,Bloom Township,President,,Write-ins,"Smith, Mike",0,10
Ford,Bloom Township,President,,Write-ins,"Sood, Ajay",0,10
