census_block_group,visitor_home_cbgs,income,rent,unemploy_ratio
551314201052.0,"{""551314001021"":90,""551314201061"":82,""551314501032"":72,""551314001041"":69,""551314001043"":68,""551314201041"":63,""551314201051"":63,""551314001042"":59,""551314001033"":58,""551314202004"":54,""551314001022"":52}",860,499,0.020361990950226245
550879400002.0,"{""550870129012"":102,""550099400013"":60,""550879400003"":55,""550099400014"":54}",508,42,0.011571841851494697
550170112006.0,"{""550170104001"":80,""550170112002"":80,""550170112004"":61,""550170112003"":52,""550170111004"":50}",566,84,0.027657735522904063
550250004081.0,"{""550250109011"":353,""550250112002"":176,""550250137001"":165,""550250109031"":162,""550250125022"":151,""550250114023"":147,""550250108005"":145,""550250004061"":143,""550250120013"":141,""550250128004"":138,""550250113011"":137,""550250109042"":134,""550250108001"":121,""550250109044"":120,""550250125011"":111,""550250115031"":111,""550250014033"":111,""550250107021"":111,""550250005043"":107,""550250107023"":100,""550250015023"":99,""550250130001"":96,""550250004072"":95,""550250128003"":95,""550250006002"":95,""550250109041"":93,""550250014023"":92,""550250005033"":92,""550250125023"":91,""550250004054"":90,""550250124001"":89,""551110006002"":89,""550250002043"":86,""550250014031"":84,""550250005035"":84,""550250014032"":84,""550250124002"":80,""550250002022"":79,""550459601002"":78,""550250004053"":78,""550250002051"":76,""550250016031"":75,""550250115032"":75,""550250108002"":74,""550250114012"":73,""550250004071"":73,""550250111012"":72,""551110007001"":70,""550250107013"":70,""550250126003"":68,""550459602003"":67,""551050029004"":66,""550250108003"":66,""550250011011"":66,""550250108004"":65,""550250011022"":64,""550250105024"":63,""550250122024"":62,""550250006001"":62,""550250006003"":61,""550250127002"":60,""550250122021"":60,""550250110002"":59,""550250012004"":59,""550250110001"":59,""550250111021"":59,""550250005044"":58,""550250112003"":58,""550250003001"":57,""550250032001"":57,""550250113012"":57,""550250137002"":56,""550250115061"":56,""550250105022"":56,""551050012023"":56,""550250005011"":56,""550250127001"":56,""550250005042"":56,""550250014011"":56,""550250132001"":56,""550250107011"":55,""550250002041"":55,""550250120011"":55,""550250015021"":55,""550250031003"":54,""550250004073"":54,""550250002042"":52,""550250117002"":52,""550250026031"":52,""550250119001"":51,""550250005032"":50,""550250114011"":50,""550250131004"":50}",792,673,0.008216926869350863
550790053002.0,{},510,190,0.042154566744730684
550790134002.0,"{""550790074001"":94,""551332034052"":86,""550896602022"":80,""550791874001"":74,""551332015042"":74,""551314702041"":73,""550896603041"":71,""550790147002"":71,""550791603001"":68,""551332033042"":62,""551332021012"":62,""551332033052"":58,""551332033041"":57,""551332004001"":53,""551332005001"":51,""550791853001"":51,""550790003021"":50}",337,242,0.04821428571428571
551050008002.0,"{""551050013041"":184,""551050013025"":88,""551050013042"":81,""551050012023"":78,""551050007002"":65,""551050009002"":61,""551050013032"":60,""551050013021"":60,""551050006001"":60,""551050008003"":56,""551050012013"":55,""551050012012"":53,""551050010001"":51}",469,145,0.01845018450184502
551351009003.0,"{""551351009001"":126,""551351008003"":85,""551351012001"":72,""550870127001"":67,""551351004003"":65,""550870127004"":62,""551351006001"":58,""551351008002"":54,""551351009002"":53,""550870128002"":52,""551351009004"":52}",336,170,0.011450381679389313
550090002005.0,{},509,170,0.06681514476614699
550250018042.0,"{""550250112002"":71,""550250102001"":54,""550250114023"":54,""550250016031"":50,""550250113011"":50}",1088,914,0.04983012457531144
550310303002.0,{},348,109,0.028571428571428567
550390420004.0,"{""550390411004"":122,""550390411003"":110,""550390420005"":101,""550390411001"":87,""550390420003"":83,""550390421001"":71,""550390420001"":62,""550390411002"":62,""551170107002"":54,""550390413001"":53,""550390420002"":51,""550390421004"":51}",991,243,0.011844938980617371
551332021032.0,"{""551332021012"":148,""551332020011"":73,""551332021023"":69,""551332023013"":66,""551010028004"":54,""551010028002"":51,""551332038031"":51,""551332016003"":50}",622,10,0.01555104800540906
