census_block_group,distance_from_home,state,county
550919502002,69508,WI,Pepin County
551332033053,33284,WI,Waukesha County
550919501002,49393,WI,Pepin County
550790013002,6452,WI,Milwaukee County
551332028002,12209,WI,Waukesha County
551332034033,14094,WI,Waukesha County
551332034041,11775,WI,Waukesha County
551390037024,41549,WI,Winnebago County
551390005003,18427,WI,Winnebago County
550859713002,177827,WI,Oneida County
551332034061,17525,WI,Waukesha County
551332022024,5460,WI,Waukesha County
551332031032,10523,WI,Waukesha County
551332019002,18338,WI,Waukesha County
551332016004,25344,WI,Waukesha County
551332023013,13554,WI,Waukesha County
550250112004,109264,WI,Dane County
551010018013,20400,WI,Racine County
550819502001,51105,WI,Monroe County
550819508003,44497,WI,Monroe County
550819508002,26465,WI,Monroe County
550710004004,9907,WI,Manitowoc County
550710054001,17776,WI,Manitowoc County
551332033064,27702,WI,Waukesha County
550511802001,228157,WI,Iron County
550999705001,111506,WI,Price County
550310210002,118831,WI,Douglas County
550310301006,49701,WI,Douglas County
550999705003,105051,WI,Price County
550999707001,91916,WI,Price County
550250115032,11530,WI,Dane County
550250115061,25591,WI,Dane County
550630108003,22265,WI,La Crosse County
550630002001,12793,WI,La Crosse County
550730016002,31600,WI,Marathon County
550250122011,19559,WI,Dane County
550730021004,35920,WI,Marathon County
551410113004,6019,WI,Wood County
550250122022,8702,WI,Dane County
550250123001,20011,WI,Dane County
550250123002,20167,WI,Dane County
551332031033,10349,WI,Waukesha County
551332008012,14510,WI,Waukesha County
550919502003,85684,WI,Pepin County
550250125013,13163,WI,Dane County
551390037012,38681,WI,Winnebago County
551410116003,18655,WI,Wood County
551410117003,35271,WI,Wood County
550250131003,53904,WI,Dane County
551332007002,14421,WI,Waukesha County
550250113022,19090,WI,Dane County
550831005003,61735,WI,Oconto County
550831009003,28500,WI,Oconto County
550831011002,66456,WI,Oconto County
550090004021,10430,WI,Brown County
550831007003,41549,WI,Oconto County
550831010001,72245,WI,Oconto County
550699609002,25851,WI,Lincoln County
551332014031,12839,WI,Waukesha County
551332040044,19880,WI,Waukesha County
551091209012,26049,WI,St. Croix County
551332023012,9939,WI,Waukesha County
550090020014,5236,WI,Brown County
550090020015,9411,WI,Brown County
551091209043,91937,WI,St. Croix County
551332035001,18613,WI,Waukesha County
551332042002,18313,WI,Waukesha County
551332018001,11940,WI,Waukesha County
550079604003,163824,WI,Bayfield County
550079900000,,WI,Bayfield County
551332041003,43267,WI,Waukesha County
551390026013,6595,WI,Winnebago County
551390021002,39753,WI,Winnebago County
551390022011,18989,WI,Winnebago County
551390010002,35778,WI,Winnebago County
551390010001,4568,WI,Winnebago County
551332001014,10041,WI,Waukesha County
551332021022,12132,WI,Waukesha County
550099400021,22645,WI,Brown County
551332043013,7729,WI,Waukesha County
551390016002,9343,WI,Winnebago County
551332038021,17034,WI,Waukesha County
550079604004,146971,WI,Bayfield County
550759615001,13214,WI,Marinette County
550759615003,9091,WI,Marinette County
550119601001,40925,WI,Buffalo County
550090201002,64219,WI,Brown County
550090020013,6921,WI,Brown County
550590025001,12877,WI,Kenosha County
550310206004,9634,WI,Douglas County
550310208002,14991,WI,Douglas County
550310209001,15652,WI,Douglas County
550250017041,35707,WI,Dane County
550250017053,48139,WI,Dane County
550250025002,29093,WI,Dane County
550279613003,18902,WI,Dodge County
550279610002,63211,WI,Dodge County
551079605003,19290,WI,Rusk County
551079603001,64900,WI,Rusk County
550279617003,51619,WI,Dodge County
550279618003,26629,WI,Dodge County
550279620001,14826,WI,Dodge County
550279620003,5754,WI,Dodge County
550679607001,84350,WI,Langlade County
550790003011,22017,WI,Milwaukee County
551314001033,27615,WI,Washington County
550279609003,16440,WI,Dodge County
550291004002,203881,WI,Door County
550390414003,62118,WI,Fond du Lac County
550790014001,5735,WI,Milwaukee County
551314301003,71413,WI,Washington County
551314202001,20461,WI,Washington County
550790017005,6163,WI,Milwaukee County
550250026032,56399,WI,Dane County
550250026021,95939,WI,Dane County
550250114022,110580,WI,Dane County
550250125022,14930,WI,Dane County
550790018002,5423,WI,Milwaukee County
550799800001,16993,WI,Milwaukee County
550590006021,11300,WI,Kenosha County
550590026012,17739,WI,Kenosha County
550250111024,11100,WI,Dane County
551010017025,21441,WI,Racine County
551211008001,32689,WI,Trempealeau County
551211002001,53035,WI,Trempealeau County
550790006004,5753,WI,Milwaukee County
550790010001,7430,WI,Milwaukee County
550791013003,8060,WI,Milwaukee County
