SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
Phillips Middle School ,Phillips,Middle School,6,8,Public school,Regular,No,365 Highway 100  Phillips WI  54555,Price,12,13974,4347,130,43470130,5511730,1545,45.694449,-90.416929,Report received,86
Plum City High School,Plum City,High School,6,12,Public school,Regular,No,907 Main St  Plum City WI  54761-9013,Pierce,11,16002,4459,40,44590040,5511880,1557,44.636458,-92.19215,Report received,86
Project STAY,Milwaukee,High School,9,12,Public school,Alternative,No,609 N 8th St  Milwaukee WI  53233-2405,Milwaukee,1,30965,3619,458,36190458,5509600,1007,43.037828,-87.922166,Report received,86
Riverside Middle School ,Watertown Unified,Middle School,6,8,Public school,Regular,No,131 Hall St  Watertown WI  53094-4114,Jefferson,2,2390,6125,90,61250090,5515750,2000,43.193216,-88.704092,Report received,86
Southern Door Middle School ,Southern Door County,Middle School,6,8,Public school,Regular,No,2073 County Trunk DK  Brussels WI  54204,Door,7,11312,5457,40,54570040,5514130,1835,44.770504,-87.590047,Report received,86
Three Lakes Elementary ,Three Lakes,Elementary School,K4,6,Public school,Regular,No,6930 W School St  Three Lakes WI  54562-9010,Oneida,9,14037,5733,60,57330060,5514850,1928,45.79515,-89.167317,Report received,86
Tomah Middle School ,Tomah Area,Middle School,6,8,Public school,Regular,No,612 Hollister Ave  Tomah WI  54660-1960,Monroe,4,14955,5747,160,57470160,5514910,1938,43.981269,-90.508983,Report received,86
Wausaukee Jr,Wausaukee,Junior High School,7,8,Public school,Regular,No,N11941 US Highway 141  Wausaukee WI  54177-9300,Marinette,8,11257,6230,120,62300120,5515930,2069,45.383307,-87.876231,Report received,86
Wauwatosa Montessori Sch,Wauwatosa,Elementary School,K4,8,Public school,Regular,No,12121 W North Ave  Wauwatosa WI  53226-2096,Milwaukee,1,693,6244,110,62440110,5515990,2884,43.059337,-88.063961,Report received,86
Webster Stanley Middle School ,Oshkosh Area,Middle School,6,8,Public school,Regular,No,915 Hazel St  Oshkosh WI  54901-4057,Winnebago,6,17162,4179,500,41790500,5511190,1504,44.028471,-88.522726,Report received,86
White Lake Elementary ,White Lake,Elementary School,K4,6,Public school,Regular,No,405 Bissell St  White Lake WI  54491,Langlade,8,13411,6440,20,64400020,5516590,2164,45.155768,-88.764666,Report received,86
Whitman Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,4200 S 54th St  Milwaukee WI  53220-3111,Milwaukee,1,5287,3619,397,36190397,5509600,1270,42.968532,-87.981194,Report received,86
Algoma Elementary ,Algoma,Elementary School,K4,6,Public school,Regular,No,514 Fremont St  Algoma WI  54201-1395,Kewaunee,7,11283,70,20,700020,5500150,15,44.606585,-87.439932,Report received,87
Algoma High School,Algoma,High School,7,12,Public school,Regular,No,1715 Division St  Algoma WI  54201-1498,Kewaunee,7,11284,70,40,700040,5500150,16,44.599594,-87.444206,Report received,87
Belmont High School,Belmont Community,High School,6,12,Public school,Regular,No,646 E Liberty St  Belmont WI  53510-9667,Lafayette,3,6016,364,40,3640040,5501020,135,42.741891,-90.326638,Report received,87
Birchwood Public Montessori,Birchwood,Elementary School,K4,6,Public school,Regular,Charter,201 E Birch St  Birchwood WI  54817,Washburn,11,753,441,130,4410130,5501170,2937,45.655324,-91.553837,Report received,87
Bradley Tech High School,Milwaukee,High School,9,12,Public school,Regular,No,700 S Fourth St  Milwaukee WI  53204-1760,Milwaukee,1,4484,3619,14,36190014,5509600,1218,43.023721,-87.91465,Report received,87
Brass Community Sch,Kenosha,Elementary School,K4,5,Public school,Regular,No,6400 15th Ave  Kenosha WI  53143-4962,Kenosha,1,3078,2793,340,27930340,5507320,816,42.576053,-87.828147,Report received,87
Butternut High School,Butternut,High School,6,12,Public school,Regular,No,312 W Wisconsin St  Butternut WI  54514,Ashland,12,13665,840,40,8400040,5501920,246,46.01588,-90.496513,Report received,87
Clinton Middle School ,Clinton Community,Middle School,5,8,Public school,Regular,No,115 Milwaukee Rd  Clinton WI  53525,Rock,2,6258,1134,80,11340080,5502640,297,42.558544,-88.858328,Report received,87
Dimensions of Learning Acad,Kenosha,Elementary School,KG,8,Public school,Regular,Charter,6218 25th Ave  Kenosha WI  53143-4370,Kenosha,1,71193,2793,130,27930130,5507320,2457,42.578039,-87.8395,Report received,87
Edison Middle School ,Green Bay Area Public,Middle School,6,8,Public school,Regular,No,442 Alpine Dr  Green Bay WI  54302-5199,Brown,7,11846,2289,190,22890190,5505820,619,44.492043,-87.949308,Report received,87
Edison Middle School ,Janesville,Middle School,6,8,Public school,Regular,No,1649 S Chatham St  Janesville WI  53546-5899,Rock,2,6685,2695,70,26950070,5507020,758,42.655642,-89.036199,Report received,87
Erin Elementary ,Erin,Elementary School,K4,8,Public school,Regular,No,6901 County Highway O  Hartford WI  53027-9729,Washington,6,1178,1687,20,16870020,5504410,476,43.357616,-88.319032,Report received,87
Frank Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,1816 57th St  Kenosha WI  53140-3947,Kenosha,1,3070,2793,160,27930160,5507320,807,42.582783,-87.831245,Report received,87
Hatley Elementary ,D C Everest Area,Elementary School,PK,5,Public school,Regular,No,417 Emmonsville Rd  Hatley WI  54440-9769,Marathon,9,12656,4970,60,49700060,5513170,1738,44.888496,-89.336203,Report received,87
Honor Elementary ,Herman-Neosho-Rubicon,Elementary School,K4,4,Public school,Regular,No,201 Center St  Neosho WI  53059-9518,Dodge,6,1474,2525,100,25250100,5500075,3033,43.310184,-88.513249,Report received,87
Jack Young Middle School ,Baraboo,Middle School,6,8,Public school,Regular,No,1531 Draper St  Baraboo WI  53913-1236,Sauk,5,9314,280,20,2800020,5500810,102,43.480483,-89.755873,Report received,87
John Edwards Middle School ,Port Edwards,Middle School,5,8,Public school,Regular,No,801 2nd St  Port Edwards WI  54469-1301,Wood,5,13061,4508,80,45080080,5511970,580,44.346796,-89.860394,Report received,87
Kansasville Elementary ,Dover #1,Elementary School,K4,8,Public school,Regular,No,4101 S Beaumont Ave  Kansasville WI  53139-9517,Racine,2,3052,1449,20,14490020,5503750,394,42.684845,-88.110368,Report received,87
Kettle Moraine 4K,Kettle Moraine,Elementary School,K4,0,Public school,Regular,No,W313S4134 Highway 83  Genesee Depot WI  53127,Waukesha,1,552,1376,100,13760100,5503510,2852,42.969753,-88.372876,Report received,87
Loyal High School,Loyal,High School,9,12,Public school,Regular,No,514 W Central  Loyal WI  54446,Clark,10,12671,3206,60,32060060,5508250,912,44.735362,-90.504335,Report received,87
Maple Grove Sch,Merrill Area,Elementary School,KG,5,Public school,Regular,Charter,290 County Road F  Hamburg WI  54411,Marathon,9,756,3500,110,35000110,5509210,2917,45.090523,-89.88513,Report received,87
Menomonie Middle School ,Menomonie Area,Middle School,6,8,Public school,Regular,No,920 21st St S  Menomonie WI  54751-2276,Dunn,11,15815,3444,160,34440160,5509090,1080,44.874357,-91.900348,Report received,87
Metcalfe Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3400 W North Ave  Milwaukee WI  53208-1448,Milwaukee,1,71241,3619,525,36190525,5509600,2464,43.061138,-87.956176,Report received,87
New Century Sch,Verona Area,Elementary School,KG,5,Public school,Regular,Charter,420 Church St  Verona WI  53593,Dane,2,30553,5901,140,59010140,5515330,1186,42.989582,-89.536781,Report received,87
Northland Pines Elementary -Eagle River,Northland Pines,Elementary School,K4,6,Public school,Regular,No,1700 Pleasure Island Rd  Eagle River WI  54521-8927,Vilas,9,13708,1526,40,15260040,5503860,404,45.934537,-89.25299,Report received,87
Palmyra-Eagle High School,Palmyra-Eagle Area,High School,9,12,Public school,Regular,No,123 Burr Oak St  Palmyra WI  53156,Jefferson,2,3574,4221,15,42210015,5511350,2274,42.873843,-88.592321,Report received,87
Pembine High School,Beecher-Dunbar-Pembine,High School,7,12,Public school,Regular,No,N18775 Sauld St  Pembine WI  54156,Marinette,8,11041,4263,60,42630060,5511550,1530,45.63524,-87.99095,Report received,87
Read Elementary ,Oshkosh Area,Elementary School,PK,5,Public school,Regular,No,1120 Algoma Blvd  Oshkosh WI  54901-3516,Winnebago,6,17157,4179,340,41790340,5511190,1498,44.030553,-88.554811,Report received,87
Rib Lake High School,Rib Lake,High School,9,12,Public school,Regular,No,1200 North St  Rib Lake WI  54470,Taylor,9,13075,4795,60,47950060,5512780,1687,45.324184,-90.206196,Report received,87
Riverdale Elementary ,Riverdale,Elementary School,K4,6,Public school,Regular,No,800 N 6th St  Muscoda WI  53573,Grant,3,30776,3850,150,38500150,5510140,1063,43.189161,-90.436608,Report received,87
Roy Chapman Andrews Acad,Beloit,Combined Elementary/Secondary School,6,12,Public school,Regular,Charter,1225 4th St  Beloit WI  53511,Rock,2,271,413,410,4130410,5501050,2705,42.513328,-89.037796,Report received,87
SAGES,Waupun,Elementary School,K4,6,Public school,Regular,Charter,200 S Depot St  Fox Lake WI  53933-9625,Dodge,6,727,6216,150,62160150,5515870,2903,43.564839,-88.90482,Report received,87
Sevastopol Middle School ,Sevastopol,Middle School,6,8,Public school,Regular,No,4550 Highway 57  Sturgeon Bay WI  54235-8599,Door,7,11594,5130,30,51300030,5513500,496,44.890504,-87.28984,Report received,87
Silverbrook Intermediate,West Bend,Elementary School,5,6,Public school,Regular,No,120 N Silverbrook Dr  West Bend WI  53095-3199,Washington,6,2464,6307,160,63070160,5516290,2134,43.423712,-88.194783,Report received,87
South Mountain Elementary ,Wausau,Elementary School,KG,5,Public school,Regular,No,5400 Bittersweet Rd  Wausau WI  54401-7588,Marathon,9,31091,6223,130,62230130,5515900,1409,44.907352,-89.672704,Report received,87
South Shore Elementary ,South Shore,Elementary School,K4,6,Public school,Regular,No,9135 School Rd  Port Wing WI  54865-5752,Bayfield,12,16836,4522,40,45220040,5512030,1571,46.780558,-91.380931,Report received,87
Spring Hill Middle School ,Wisconsin Dells,Middle School,6,8,Public school,Regular,No,300 Vine St  Wisconsin Dells WI  53965-1845,Columbia,5,71198,6678,200,66780200,5517040,2271,43.621741,-89.760195,Report received,87
Spring Valley Middle School ,Spring Valley,Middle School,6,8,Public school,Regular,No,S1450 County Road CC  Spring Valley WI  54767-0249,Pierce,11,16047,5586,70,55860070,5514340,511,44.781928,-92.283761,Report received,87
Tiffany Creek Elementary ,Boyceville Community,Elementary School,K4,6,Public school,Regular,No,161 East St  Boyceville WI  54725-9407,Dunn,11,15432,637,20,6370020,5501590,201,45.051142,-92.035393,Report received,87
Van Brunt Elementary ,Horicon,Elementary School,K4,6,Public school,Regular,No,611 Mill St  Horicon WI  53032-1461,Dodge,6,1371,2576,40,25760040,5506570,711,43.449242,-88.62693,Report received,87
Wheatland Center Elementary ,Wheatland J1,Elementary School,K4,8,Public school,Regular,No,6606 368th Ave  Burlington WI  53105-8583,Kenosha,2,2589,6412,20,64120020,5516560,2163,42.575423,-88.256974,Report received,87
Williams Bay Middle School ,Williams Bay,Middle School,6,8,Public school,Regular,No,500 W Geneva St  Williams Bay WI  53191,Walworth,2,4246,6482,30,64820030,5516740,277,42.57638,-88.563924,Report received,87
4K Community Sch,Burlington Area,Elementary School,K4,0,Public school,Regular,No,100 N Kane St  Burlington WI  53105-1896,Racine,2,934,777,150,7770150,5501890,2987,42.675922,-88.276608,Report received,88
Adams Elementary ,Janesville,Elementary School,K4,5,Public school,Regular,No,1138 E Memorial Dr  Janesville WI  53545-1800,Rock,2,6575,2695,20,26950020,5507020,756,42.692722,-89.011024,Report received,88
ASSATA,Milwaukee,High School,9,12,Public school,Alternative,No,3517 W Courtland Ave  Milwaukee WI  53209-5919,Milwaukee,1,30923,3619,1063,36191063,5509600,792,43.102097,-87.957303,Report received,88
Atwater Elementary,Shorewood,Elementary School,K4,6,Public school,Regular,No,2100 E Capitol Dr  Shorewood WI  53211-2198,Milwaukee,1,4813,5355,20,53550020,5513800,1809,43.090444,-87.883761,Report received,88
Baraboo High School,Baraboo,High School,9,12,Public school,Regular,No,1201 Draper St  Baraboo WI  53913-1299,Sauk,5,9315,280,40,2800040,5500810,103,43.477086,-89.756122,Report received,88
BELC--Renewal Head Start,Baraboo,Elementary School,K4,0,Public school,Regular,No,707 Center St  Baraboo WI  53913-2000,Sauk,5,501,280,160,2800160,5500810,2802,43.47222,-89.749399,Report received,88
Belmont Elementary ,Belmont Community,Elementary School,K4,5,Public school,Regular,No,646 E Liberty St  Belmont WI  53510-9667,Lafayette,3,6015,364,20,3640020,5501020,134,42.741891,-90.326638,Report received,88
Bryant Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,8718 W Thurston Ave  Milwaukee WI  53225-2829,Milwaukee,1,5471,3619,94,36190094,5509600,1134,43.122006,-88.021935,Report received,88
Bryant Elementary ,Superior,Elementary School,K4,5,Public school,Regular,No,1423 Central Ave  Superior WI  54880-5999,Douglas,12,16963,5663,40,56630040,5514670,1906,46.665881,-92.100192,Report received,88
Cassville Elementary ,Cassville,Elementary School,K4,6,Public school,Regular,No,412 Crawford St  Cassville WI  53806-9685,Grant,3,8799,994,20,9940020,5502400,264,42.782451,-90.945303,Report received,88
Cedar Grove-Belgium Middle School ,Cedar Grove-Belgium Area,Middle School,5,8,Public school,Regular,No,50 W Union Ave  Cedar Grove WI  53013-1395,Sheboygan,7,70002,1029,200,10290200,5502430,1629,43.57215,-87.822345,Report received,88
Chetek-Weyerhaeuser High School,Chetek-Weyerhaeuser Area,High School,9,12,Public school,Regular,No,1001 Knapp St  Chetek WI  54728-9107,Barron,11,530,1080,400,10800400,5500061,2807,45.313695,-91.661452,Report received,88
Clayton Middle School ,Clayton,Middle School,6,8,Public school,Regular,No,236 Polk Ave W  Clayton WI  54004,Polk,11,10046,1120,60,11200060,5502580,558,45.329277,-92.174772,Report received,88
Edgerton Middle School ,Edgerton,Middle School,6,8,Public school,Regular,No,300 Elm High Dr  Edgerton WI  53534-1497,Rock,2,6436,1568,60,15680060,5504110,444,42.841832,-89.07649,Report received,88
Elcho Middle School ,Elcho,Middle School,6,8,Public school,Regular,No,N11268 Antigo St  Elcho WI  54428,Langlade,9,864,1582,250,15820250,5504170,2947,45.413361,-89.143347,Report received,88
Fernwood Montessori,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3239 S Pennsylvania Ave  Milwaukee WI  53207-3131,Milwaukee,1,4589,3619,158,36190158,5509600,1160,42.9859,-87.880692,Report received,88
Fond du Lac STEM Institute,Fond du Lac,Combined Elementary/Secondary School,6,11,Public school,Regular,Charter,401 S Military Rd  Fond du Lac WI  54935,Fond du Lac,6,795,1862,210,18620210,5504680,2966,43.768808,-88.458073,Report received,88
Forest Home Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,1516 W Forest Home Ave  Milwaukee WI  53204-3256,Milwaukee,1,4488,3619,173,36190173,5509600,1163,43.011164,-87.931432,Report received,88
Franklin Middle School ,Green Bay Area Public,Middle School,6,8,Public school,Regular,No,1233 Lore Ln  Green Bay WI  54303,Brown,7,11886,2289,300,22890300,5505820,623,44.519859,-88.048432,Report received,88
Franklin Middle School ,Janesville,Middle School,6,8,Public school,Regular,No,450 N Crosby Ave  Janesville WI  53548-3340,Rock,2,6577,2695,80,26950080,5507020,759,42.685172,-89.05035,Report received,88
Fratney Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,3255 N Fratney St  Milwaukee WI  53212-2240,Milwaukee,1,4878,3619,182,36190182,5509600,1166,43.077509,-87.90193,Report received,88
Glidden Elementary ,Chequamegon,Elementary School,K4,3,Public school,Regular,No,64 S Grant St  Glidden WI  54527,Ashland,12,450,1071,100,10710100,5500058,590,46.134331,-90.577039,Report received,88
Granton Elementary ,Granton Area,Elementary School,K4,5,Public school,Regular,No,217 N Main St  Granton WI  54436-7835,Clark,10,12618,2226,20,22260020,5505640,599,44.592434,-90.461868,Report received,88
Hadfield Elementary ,Waukesha,Elementary School,K4,5,Public school,Regular,No,733 Linden St  Waukesha WI  53186-5161,Waukesha,1,3976,6174,160,61740160,5515780,2011,43.009486,-88.217199,Report received,88
Hopkins Lloyd,Milwaukee,Elementary School,K3,8,Public school,Regular,No,1503 W Hopkins St  Milwaukee WI  53206-2165,Milwaukee,1,4546,3619,253,36190253,5509600,1208,43.070432,-87.931668,Report received,88
Humke Elementary ,Nekoosa,Elementary School,PK,3,Public school,Regular,No,500 S Section St  Nekoosa WI  54457-1499,Wood,5,12969,3906,40,39060040,5510380,2344,44.310224,-89.904505,Report received,88
Indian Mound Middle School ,McFarland,Middle School,6,8,Public school,Regular,No,6330 Exchange St  McFarland WI  53558-9250,Dane,2,6858,3381,60,33810060,5508910,1036,43.008693,-89.298045,Report received,88
John Long Middle School ,Grafton,Middle School,6,8,Public school,Regular,No,700 Hickory St  Grafton WI  53024-1122,Ozaukee,1,1149,2217,60,22170060,5505610,2249,43.330905,-87.956741,Report received,88
Kaleidoscope Acad,Appleton Area,Middle School,6,8,Public school,Regular,Charter,318 E Brewster St  Appleton WI  54911-3799,Outagamie,6,256,147,250,1470250,5500390,2759,44.275211,-88.401851,Report received,88
Ladysmith Middle School ,Ladysmith,Middle School,6,8,Public school,Regular,No,1700 Edgewood Ave E  Ladysmith WI  54848,Rusk,10,16714,2856,100,28560100,5507590,878,45.473229,-91.087153,Report received,88
Lewiston Elementary ,Portage Community,Elementary School,KG,5,Public school,Regular,No,W11195 State Road 127  Portage WI  53901-9413,Columbia,5,9210,4501,100,45010100,5512060,2280,43.53915,-89.46262,Report received,88
Lincoln Avenue Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,1817 W Lincoln Ave  Milwaukee WI  53215-2650,Milwaukee,1,5047,3619,250,36190250,5509600,1206,43.002061,-87.935988,Report received,88
Lineville Intermediate,Howard-Suamico,Elementary School,5,6,Public school,Regular,No,2700 Lineville Rd  Green Bay WI  54313-7151,Brown,7,71192,2604,110,26040110,5506630,2456,44.591751,-88.088082,Report received,88
Little Chute Intermediate,Little Chute Area,Elementary School,5,6,Public school,Regular,No,1402 Freedom Rd  Little Chute WI  54140-3300,Outagamie,6,694,3129,100,31290100,5508160,2858,44.287882,-88.311993,Report received,88
Lombardi Middle School ,Green Bay Area Public,Middle School,6,8,Public school,Regular,No,1520 S Point Rd  Green Bay WI  54313-5497,Brown,7,12092,2289,425,22890425,5505820,631,44.513616,-88.111997,Report received,88
Lomira Middle School ,Lomira,Middle School,6,8,Public school,Regular,No,1030 4th St  Lomira WI  53048-9558,Dodge,6,1587,3171,70,31710070,5508220,909,43.588852,-88.44508,Report received,88
Maple Tree Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,6644 N 107th St  Milwaukee WI  53224-5006,Milwaukee,1,5458,3619,267,36190267,5509600,1214,43.138727,-88.043138,Report received,88
Mapleview Intermediate,Kimberly Area,Elementary School,5,6,Public school,Regular,No,125 E Kimberly Ave  Kimberly WI  54136-1402,Outagamie,6,164,2835,140,28350140,5507470,2642,44.271719,-88.333445,Report received,88
Milw College Prep--North,Milwaukee,Elementary School,K4,8,Public school,Regular,Charter,1350 W North Ave  Milwaukee WI  53205-1257,Milwaukee,1,1515,3619,121,36190121,5509600,3006,43.061111,-87.929157,Report received,88
Milw French Immersion,Milwaukee,Elementary School,K3,5,Public school,Regular,No,2360 N 52nd St  Milwaukee WI  53210-2701,Milwaukee,1,5600,3619,140,36190140,5509600,2340,43.06156,-87.978067,Report received,88
Montello Jr/Sr High School,Montello,High School,6,12,Public school,Regular,No,222 Forest Ln  Montello WI  53949-9390,Marquette,5,9664,3689,40,36890040,5509870,1303,43.796797,-89.321955,Report received,88
Neillsville Elementary ,Neillsville,Elementary School,K4,6,Public school,Regular,No,504 E 5th St  Neillsville WI  54456-2024,Clark,10,12934,3899,20,38990020,5510350,1356,44.559705,-90.589934,Report received,88
North Division High School 0419,Milwaukee,High School,9,12,Public school,Regular,No,1011 W Center St  Milwaukee WI  53206-3262,Milwaukee,1,307,3619,419,36190419,5509600,2730,43.066706,-87.925832,Report received,88
Oak Creek East Middle School ,Oak Creek-Franklin Joint,Middle School,6,8,Public school,Regular,No,9330 S Shepard Ave  Oak Creek WI  53154-4548,Milwaukee,1,3534,4018,120,40180120,5510830,1412,42.875349,-87.900655,Report received,88
Ozaukee Middle School ,Northern Ozaukee,Middle School,6,8,Public school,Regular,No,401 Highland Dr  Fredonia WI  53021-9491,Ozaukee,1,1103,1945,80,19450080,5504890,531,43.474149,-87.942399,Report received,88
Prentice Elementary ,Prentice,Elementary School,K4,4,Public school,Regular,No,1025 Town St  Prentice WI  54556,Price,9,14005,4571,40,45710040,5512210,1588,45.544392,-90.290837,Report received,88
Richland Center High School,Richland,High School,9,12,Public school,Regular,No,1996 US Hwy 14 W  Richland Center WI  53581-1352,Richland,3,7308,4851,320,48510320,5512960,1707,43.3446,-90.40283,Report received,88
River Valley Middle School ,River Valley,Middle School,5,8,Public school,Regular,No,660 W Daley St  Spring Green WI  53588,Sauk,3,7466,5523,100,55230100,5514250,1856,43.178135,-90.076518,Report received,88
Roosevelt Elementary ,Eau Claire Area,Elementary School,KG,5,Public school,Regular,No,3010 8th St  Eau Claire WI  54703-1598,Eau Claire,10,15312,1554,480,15540480,5504050,437,44.83034,-91.521109,Report received,88
Roosevelt Elementary ,Janesville,Elementary School,K4,5,Public school,Regular,No,316 S Ringold St  Janesville WI  53545-4198,Rock,2,6583,2695,320,26950320,5507020,773,42.682932,-89.00771,Report received,88
Roosevelt Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,3322 Roosevelt Rd  Kenosha WI  53142-3935,Kenosha,1,3085,2793,460,27930460,5507320,823,42.57028,-87.848552,Report received,88
Roosevelt Elementary ,Neenah Joint,Elementary School,KG,5,Public school,Regular,No,215 E Forest Ave  Neenah WI  54956-2797,Winnebago,6,17980,3892,200,38920200,5510320,1350,44.190084,-88.454026,Report received,88
Roosevelt Elementary ,Oshkosh Area,Elementary School,KG,5,Public school,Regular,No,910 N Sawyer St  Oshkosh WI  54902-3300,Winnebago,6,17158,4179,360,41790360,5511190,1499,44.028605,-88.567028,Report received,88
Roosevelt Elementary ,Racine Unified,Elementary School,K4,5,Public school,Regular,No,915 Romayne Ave  Racine WI  53402,Racine,1,5706,4620,154,46200154,5512360,1637,42.750456,-87.791417,Report received,88
Roosevelt Elementary ,Stevens Point Area Public,Elementary School,PK,6,Public school,Regular,No,2200 Wisconsin Ave  Plover WI  54467-9355,Portage,5,13045,5607,260,56070260,5514490,1879,44.463695,-89.541261,Report received,88
Roosevelt Elementary ,Wauwatosa,Elementary School,K4,5,Public school,Regular,No,2535 N 73rd St  Wauwatosa WI  53213-1299,Milwaukee,1,4928,6244,200,62440200,5515990,2087,43.06531,-88.004535,Report received,88
RUSD Montessori,Racine Unified,Elementary School,K4,5,Public school,Regular,No,4800 Graceland Blvd  Racine WI  53406-3603,Racine,1,1487,4620,101,46200101,5512360,3044,42.726979,-87.837556,Report received,88
Sauk Prairie Middle School ,Sauk Prairie,Middle School,6,8,Public school,Regular,No,207 Maple St  Sauk City WI  53583-1042,Sauk,5,7366,5100,140,51000140,5513410,1760,43.281247,-89.73226,Report received,88
Seneca High School,Seneca Area,High School,9,12,Public school,Regular,No,202 Main St  Seneca WI  54654,Crawford,3,14867,5124,80,51240080,5513470,1765,43.265444,-90.957471,Report received,88
Southwestern Wisconsin High School,Southwestern Wisconsin,High School,9,12,Public school,Regular,No,1105 Maple St  Hazel Green WI  53811,Grant,3,8924,2485,60,24850060,5506300,696,42.530517,-90.439137,Report received,88
Stratford Middle School ,Stratford,Middle School,6,8,Public school,Regular,No,522 N Third Ave  Stratford WI  54484,Marathon,9,776,5628,230,56280230,5514580,2939,44.805774,-90.075752,Report received,88
Timber PUPS Learning Ctr,Tomah Area,Elementary School,K4,0,Public school,Regular,No,TASD District Office 129 W Clifton St Tomah WI  54660-2507,Monroe,4,479,5747,120,57470120,5514910,2797,43.983826,-90.473336,Report received,88
Tomahawk Middle School ,Tomahawk,Middle School,6,8,Public school,Regular,No,1048 E Kings Rd  Tomahawk WI  54487,Lincoln,9,13351,5754,220,57540220,5514940,1948,45.476675,-89.712568,Report received,88
Vincent High School,Milwaukee,High School,9,12,Public school,Regular,No,7501 N Granville Rd  Milwaukee WI  53224-3927,Milwaukee,1,5454,3619,33,36190033,5509600,2272,43.154667,-88.031901,Report received,88
Viroqua Elementary ,Viroqua Area,Elementary School,K4,4,Public school,Regular,No,115 N Education Ave  Viroqua WI  54665-1318,Vernon,4,15033,5985,180,59850180,5515360,1975,43.55656,-90.902928,Report received,88
Viroqua Middle School ,Viroqua Area,Middle School,5,8,Public school,Regular,No,100 Blackhawk Dr  Viroqua WI  54665-1315,Vernon,4,15035,5985,230,59850230,5515360,1977,43.558921,-90.900843,Report received,88
Watertown 4 Kids,Watertown Unified,Elementary School,K4,0,Public school,Regular,No,111 Dodge St  Watertown WI  53094-4434,Jefferson,2,203,6125,110,61250110,5515750,2661,43.191712,-88.724119,Report received,88
Waupaca Middle School ,Waupaca,Middle School,5,8,Public school,Regular,No,1149 Shoemaker Rd  Waupaca WI  54981,Waupaca,5,18286,6195,150,61950150,5515840,2036,44.346949,-89.069484,Report received,88
Williams Bay High School,Williams Bay,High School,9,12,Public school,Regular,No,500 W Geneva St  Williams Bay WI  53191,Walworth,2,4247,6482,40,64820040,5516740,2187,42.57638,-88.563924,Report received,88
Woodland Elementary ,Barron Area,Elementary School,K4,4,Public school,Regular,No,808 E Woodland Ave  Barron WI  54812-1759,Barron,11,16379,308,160,3080160,5500870,119,45.397278,-91.845944,Report received,88
Alcott Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3563 S 97th St  Milwaukee WI  53228-1416,Milwaukee,1,5599,3619,75,36190075,5509600,1121,42.979106,-88.035207,Report received,89
Allenton Elementary ,Slinger,Elementary School,K4,5,Public school,Regular,No,228 Weis St  Allenton WI  53002-9570,Washington,6,825,5390,10,53900010,5513950,1818,43.416429,-88.335629,Report received,89
Alliance School of Milw,Milwaukee,High School,9,12,Public school,Regular,Charter,850 W Walnut St  Milwaukee WI  53205,Milwaukee,1,89,3619,413,36190413,5509600,2603,43.053795,-87.92147,Report received,89
Ashland High School,Ashland,High School,9,12,Public school,Regular,No,1900 Beaser Ave  Ashland WI  54806-3603,Ashland,12,16205,170,20,1700020,5500510,73,46.571169,-90.883957,Report received,89
Augusta High School,Augusta,High School,9,12,Public school,Regular,No,E19320 Bartig Rd  Augusta WI  54722-7501,Eau Claire,10,15387,217,40,2170040,5500630,93,44.726811,-91.212598,Report received,89
Bayfield Elementary ,Bayfield,Elementary School,K4,5,Public school,Regular,No,300 N 4th St  Bayfield WI  54814,Bayfield,12,16446,315,20,3150020,5500900,120,46.815143,-90.819396,Report received,89
Bayshore Community Acad,Oconto Unified,Middle School,5,8,Public school,Regular,Charter,400 Michigan Ave  Oconto WI  54153-1764,Oconto,8,787,4067,200,40670200,5510920,2977,44.891477,-87.870875,Report received,89
Beaver Dam Middle School ,Beaver Dam Unified,Middle School,6,8,Public school,Regular,No,108 Fourth St  Beaver Dam WI  53916-2052,Dodge,6,9377,336,20,3360020,5500960,122,43.459632,-88.839316,Report received,89
Butternut Elementary ,Butternut,Elementary School,K4,5,Public school,Regular,No,312 W Wisconsin St  Butternut WI  54514,Ashland,12,13664,840,20,8400020,5501920,245,46.01588,-90.496513,Report received,89
Clintonville Middle School ,Clintonville,Middle School,5,8,Public school,Regular,No,255 N Main St  Clintonville WI  54929-1154,Waupaca,8,17567,1141,20,11410020,5502670,301,44.632571,-88.753773,Report received,89
