Site Name,County,Latitude,Longitutde,Sum,status,protection,,,,,,,,,,,,
Fitzgibbon,Dane,43.156,-89.458,7,partially destroyed,unprotected,,,,,,,,,,,,
Forest Hill Cemetery,Dane,43.06,-89.432,7,partially destroyed ,protected,,,,,,,,,,,,
Fox's Bluff,Dane,43.111,-89.453,5,intact,unprotected,,,,,,,,,,,,
Frost Woods,Dane,43.055,-89.335,11,partially destroyed,unprotected,,,,,,,,,,,,
Fuller Woods,Dane,43.091,-89.374,48,partially destroyed,unprotected,,,,,,,,,,,,
Gallistel Woods,Dane,43.045,-89.424,4,intact ,protected,,,,,,,,,,,,
Ghost Ridge,Dane,43.098,-89.301,3,destroyed,unprotected,,,,,,,,,,,,
Gilman,Dane,43.03,-89.351,2,destroyed,unprotected,,,,,,,,,,,,
Glenway,Dane,43.056,-89.431,3,destroyed,unprotected,,,,,,,,,,,,
Greenbush,Dane,43.059,-89.405,18,destroyed,unprotected,,,,,,,,,,,,
H. P. Hall Bird,Dane,43.128,-89.316,1,unknown,unprotected,,,,,,,,,,,,
Halverson/Pflaum-McWilliams,Dane,43.052,-89.317,15,partially destroyed ,protected,,,,,,,,,,,,
Hanson,Dane,43.032,-89.226,2,intact,unprotected,,,,,,,,,,,,
Heim,Dane,43.098,-89.498,1,intact ,protected,,,,,,,,,,,,
Hornung,Dane,43.258,-89.694,12,partially destroyed,unprotected,,,,,,,,,,,,
Inama,Dane,43.259,-89.702,3,destroyed,unprotected,,,,,,,,,,,,
Jaggi,Dane,42.954,-89.549,3,unknown,unprotected,,,,,,,,,,,,
Jefferson Street Bear,Dane,43.059,-89.421,1,destroyed,unprotected,,,,,,,,,,,,
Kennedy Pond,Dane,43.122,-89.447,9,partially destroyed,unprotected,,,,,,,,,,,,
Koshkonong,Dane,42.85,-89.018,75,destroyed,unprotected,,,,,,,,,,,,
Lake Edge Park,Dane,43.085,-89.324,8,partially destroyed ,protected,,,,,,,,,,,,
Lake Forest #2,Dane,43.047,-89.419,4,partially destroyed ,protected,,,,,,,,,,,,
Lake Monona,Dane,43.058,-89.35,3,unknown,unprotected,,,,,,,,,,,,
Lakeside Hotel,Dane,43.052,-89.394,2,destroyed,unprotected,,,,,,,,,,,,
Larson Park,Dane,43.017,-89.303,5,destroyed,unprotected,,,,,,,,,,,,
Laufenburg,Dane,43.034,-89.697,3,intact,unprotected,,,,,,,,,,,,
Lee,Dane,43.015,-89.242,5,destroyed,unprotected,,,,,,,,,,,,
Lewis,Dane,43.013,-89.3,9,partially destroyed ,protected,,,,,,,,,,,,
Lewis Effigy,Dane,43.061,-89.408,1,destroyed,unprotected,,,,,,,,,,,,
Locke,Dane,43.055,-89.63,4,unknown,unprotected,,,,,,,,,,,,
Lohff,Dane,43.021,-89.706,6,unknown,unprotected,,,,,,,,,,,,
Maple Bluff,Dane,43.113,-89.372,22,destroyed,unprotected,,,,,,,,,,,,
Maple Bluff #2,Dane,43.12,-89.379,18,unknown,unprotected,,,,,,,,,,,,
McConnell,Dane,43.008,-89.334,17,intact,unprotected,,,,,,,,,,,,
Melburg,Dane,42.915,-89.095,2,destroyed,unprotected,,,,,,,,,,,,
Mendota Hills Bird,Dane,43.13,-89.38,6,destroyed,unprotected,,,,,,,,,,,,
Mendota School,Dane,43.142,-89.384,1,destroyed,unprotected,,,,,,,,,,,,
Mendota State Hospital,Dane,43.13,-89.393,22,partially destroyed ,protected,,,,,,,,,,,,
Merrill Springs II,Dane,43.087,-89.474,18,intact ,protected,,,,,,,,,,,,
Military Road Bear,Dane,43.048,-89.641,1,unknown,unprotected,,,,,,,,,,,,
