SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Mitchell El","West Allis-West Milwaukee","Elementary School",K4,5,"Public school",Regular,No,"10125 W Montana Ave  West Allis WI  53227-3356",Milwaukee,1,05543,6300,80,63000080,5516260,02104,42.993776,-88.039231,1,rooftop,10125,"W Montana Ave",Milwaukee,WI,"Milwaukee County",53227,US,Milwaukee
"Mitchell Sch","Racine Unified","Combined Elementary/Secondary School",K4,8,"Public school",Regular,No,"2701 Drexel Ave  Racine WI  53403-2997",Racine,1,05750,4620,148,46200148,5512360,01632,42.699821,-87.811082,1,rooftop,2701,"Drexel Ave",Racine,WI,"Racine County",53403,US,Statewide
"Mondovi El",Mondovi,"Elementary School",K4,5,"Public school",Regular,No,"337 N Jackson St  Mondovi WI  54755-1197",Buffalo,10,15909,3668,80,36680080,5509780,01286,44.570212,-91.673938,1,rooftop,337,"N Jackson St",Mondovi,WI,"Buffalo County",54755,US,Statewide
"Mondovi Hi",Mondovi,"High School",9,12,"Public school",Regular,No,"337 N Jackson St  Mondovi WI  54755-1197",Buffalo,10,15910,3668,100,36680100,5509780,01287,44.570212,-91.673938,1,rooftop,337,"N Jackson St",Mondovi,WI,"Buffalo County",54755,US,Statewide
"Mondovi Mid",Mondovi,"Middle School",6,8,"Public school",Regular,No,"337 N Jackson St  Mondovi WI  54755-1197",Buffalo,10,15911,3668,120,36680120,5509780,00383,44.570212,-91.673938,1,rooftop,337,"N Jackson St",Mondovi,WI,"Buffalo County",54755,US,Statewide
"Monona Grove Hi","Monona Grove","High School",9,12,"Public school",Regular,No,"4400 Monona Dr  Monona WI  53716-1097",Dane,2,08633,3675,60,36750060,5509810,01291,43.07195,-89.32349,1,rooftop,4400,"Monona Dr",Madison,WI,"Dane County",53716,US,Dane
"Monona Grove Liberal Arts","Monona Grove","High School",9,12,"Public school",Regular,Charter,"5301 Monona Dr  Monona WI  53716-3126",Dane,2,00597,3675,450,36750450,5509810,02828,43.061527,-89.327965,1,rooftop,5301,"Monona Dr",Madison,WI,"Dane County",53716,US,Dane
"Monroe El",Janesville,"Elementary School",K4,5,"Public school",Regular,No,"55 S Pontiac Dr  Janesville WI  53545-2200",Rock,2,06581,2695,260,26950260,5507020,00769,42.690403,-88.986779,1,rooftop,55,"S Pontiac Dr",Janesville,WI,"Rock County",53545,US,Statewide
"Monroe El",Manitowoc,"Elementary School",1,6,"Public school",Regular,No,"2502 S 14th St  Manitowoc WI  54220-6499",Manitowoc,7,11428,3290,220,32900220,5508610,00978,44.068461,-87.667994,1,rooftop,2502,"S 14th St",Manitowoc,WI,"Manitowoc County",54220,US,Manitowoc
"Monroe Hi",Monroe,"High School",9,12,"Public school",Regular,No,"1600 26th St  Monroe WI  53566-3631",Green,2,07051,3682,120,36820120,5509840,01298,42.587552,-89.639103,1,rooftop,1600,"26th St",Monroe,WI,"Green County",53566,US,Green
"Monroe Mid",Monroe,"Middle School",6,8,"Public school",Regular,No,"1510 13th St  Monroe WI  53566-2037",Green,2,07050,3682,100,36820100,5509840,01299,42.599157,-89.63991,1,rooftop,1510,"13th St",Monroe,WI,"Green County",53566,US,Green
"Montello Jr/Sr Hi",Montello,"High School",6,12,"Public school",Regular,No,"222 Forest Ln  Montello WI  53949-9390",Marquette,5,09664,3689,40,36890040,5509870,01303,43.796797,-89.321955,1,rooftop,222,"Forest Ln",Montello,WI,"Marquette County",53949,US,Statewide
"Montello Virtual Charter Sch",Montello,"Combined Elementary/Secondary School",KG,12,"Public school",Regular,Charter,"222 Forest Ln  Montello WI  53949-9390",Marquette,5,00940,3689,800,36890800,5509870,03016,43.796797,-89.321955,1,rooftop,222,"Forest Ln",Montello,WI,"Marquette County",53949,US,Statewide
"Monticello El",Monticello,"Elementary School",K4,5,"Public school",Regular,No,"334 S Main St  Monticello WI  53570",Green,2,07098,3696,20,36960020,5509900,01304,42.742764,-89.594287,1,rooftop,334,"S Main St",Monticello,WI,"Green County",53570,US,Green
"Monticello Hi",Monticello,"High School",9,12,"Public school",Regular,No,"334 S Main St  Monticello WI  53570",Green,2,07100,3696,40,36960040,5509900,01305,42.742764,-89.594287,1,rooftop,334,"S Main St",Monticello,WI,"Green County",53570,US,Green
"Monticello Mid",Monticello,"Middle School",6,8,"Public school",Regular,No,"334 S Main St  Monticello WI  53570",Green,2,07099,3696,30,36960030,5509900,00384,42.742764,-89.594287,1,rooftop,334,"S Main St",Monticello,WI,"Green County",53570,US,Green
"Morgandale El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"3635 S 17th St  Milwaukee WI  53221-1651",Milwaukee,1,05317,3619,277,36190277,5509600,01220,42.978214,-87.935635,1,rooftop,3635,"S 17th St",Milwaukee,WI,"Milwaukee County",53221,US,"City of Milwaukee"
"Morse Mid",Milwaukee,"Middle School",6,8,"Public school",Regular,No,"6700 N 80th St  Milwaukee WI  53223",Milwaukee,1,05470,3619,52,36190052,5509600,01221,43.139571,-88.009169,1,rooftop,6700,"N 80th St",Milwaukee,WI,"Milwaukee County",53223,US,"City of Milwaukee"
"Mosinee El",Mosinee,"Elementary School",K4,3,"Public school",Regular,No,"600 12th St  Mosinee WI  54455-1099",Marathon,9,12898,3787,80,37870080,5509960,01307,44.79705,-89.713216,1,rooftop,600,"12th St",Mosinee,WI,"Marathon County",54455,US,Marathon
"Mosinee Hi",Mosinee,"High School",9,12,"Public school",Regular,No,"1000 High St  Mosinee WI  54455-1398",Marathon,9,12899,3787,100,37870100,5509960,01308,44.795306,-89.709888,1,rooftop,1000,"High St",Mosinee,WI,"Marathon County",54455,US,Marathon
"Mosinee Mid",Mosinee,"Combined Elementary/Secondary School",4,8,"Public school",Regular,No,"700 High St  Mosinee WI  54455-1337",Marathon,9,12900,3787,120,37870120,5509960,01309,44.793423,-89.707721,1,rooftop,700,"High St",Mosinee,WI,"Marathon County",54455,US,Marathon
"Mound View El","Elk Mound Area","Elementary School",K4,4,"Public school",Regular,No,"455 University St  Elk Mound WI  54739-9527",Dunn,11,15681,1645,60,16450060,5504230,00454,44.873405,-91.678632,1,rooftop,455,"University St","Elk Mound",WI,"Dunn County",54739,US,Dunn
"Mount Horeb Area Comm 4K","Mount Horeb Area","Elementary School",K4,0,"Public school",Regular,No,"300 Spellman St  Mount Horeb WI  53572",Dane,2,00900,3794,150,37940150,5509990,02994,43.001313,-89.734928,1,range_interpolation,300,"Spellman St","Mount Horeb",WI,"Dane County",53572,US,"TIGER/Line® dataset from the US Census Bureau"
"Mount Horeb Early Learning Ctr","Mount Horeb Area","Elementary School",PK,0,"Public school",Regular,No,"300 Spellman St  Mount Horeb WI  53572-2258",Dane,2,07129,3794,140,37940140,5509990,02318,43.001313,-89.734928,1,range_interpolation,300,"Spellman St","Mount Horeb",WI,"Dane County",53572,US,"TIGER/Line® dataset from the US Census Bureau"
"Mount Horeb Hi","Mount Horeb Area","High School",9,12,"Public school",Regular,No,"305 S 8th St  Mount Horeb WI  53572",Dane,2,07127,3794,120,37940120,5509990,01312,43.004562,-89.728101,1,rooftop,305,"S 8th St","Mount Horeb",WI,"Dane County",53572,US,Dane
"Mount Horeb Intermediate","Mount Horeb Area","Elementary School",3,5,"Public school",Regular,No,"200 Hanneman St  Mount Horeb WI  53572",Dane,2,07125,3794,100,37940100,5509990,01311,43.006419,-89.724636,1,rooftop,200,"Hanneman Blvd","Mount Horeb",WI,"Dane County",53572,US,Dane
"Mount Horeb Mid","Mount Horeb Area","Middle School",6,8,"Public school",Regular,No,"900 E Garfield St  Mount Horeb WI  53572",Dane,2,07126,3794,110,37940110,5509990,00385,43.006631,-89.729457,1,rooftop,900,"E Garfield St","Mount Horeb",WI,"Dane County",53572,US,Dane
"Mount Horeb Primary Ctr","Mount Horeb Area","Elementary School",1,2,"Public school",Regular,No,"207 Academy St  Mount Horeb WI  53572",Dane,2,07128,3794,130,37940130,5509990,01313,43.003495,-89.73705,1,rooftop,207,"Academy St","Mount Horeb",WI,"Dane County",53572,US,Dane
"Mountain Bay El","D C Everest Area","Elementary School",PK,5,"Public school",Regular,No,"8602 Schofield Ave  Weston WI  54476-4655",Marathon,9,00178,4970,130,49700130,5513170,02643,44.900573,-89.513649,1,rooftop,8602,"Schofield Ave",Schofield,WI,"Marathon County",54476,US,Marathon
"Muir El","Madison Metropolitan","Elementary School",K4,5,"Public school",Regular,No,"6602 Inner Dr  Madison WI  53705-4297",Dane,2,07976,3269,390,32690390,5508520,00940,43.068515,-89.494465,1,rooftop,6602,"Inner Dr",Madison,WI,"Dane County",53705,US,Dane
"Muir El","Portage Community","Elementary School",2,5,"Public school",Regular,No,"2600 Woodcrest Dr  Portage WI  53901-1262",Columbia,5,09209,4501,90,45010090,5512060,02310,43.560716,-89.463448,1,rooftop,2600,"Woodcrest Dr",Portage,WI,"Columbia County",53901,US,Columbia
"Mukwonago Hi",Mukwonago,"High School",8,12,"Public school",Regular,No,"605 W Veterans Way  Mukwonago WI  53149",Waukesha,1,03385,3822,60,38220060,5510060,01319,42.873635,-88.348019,1,rooftop,605,"W Veterans Way",Mukwonago,WI,"Waukesha County",53149,US,Waukesha
"Murray Park El","Ripon Area","Elementary School",3,5,"Public school",Regular,No,"64 Sunset Ave  Ripon WI  54971","Fond du Lac",6,18204,4872,100,48720100,5513020,00487,43.856204,-88.84064,1,rooftop,64,"Sunset Ave",Ripon,WI,"Fond du Lac County",54971,US,"Fond Du Lac"
"Muskego Hi",Muskego-Norway,"High School",9,12,"Public school",Regular,No,"W183S8750 Racine Ave  Muskego WI  53150-7602",Waukesha,1,03438,3857,180,38570180,5510170,01335,42.885076,-88.144816,1,rooftop,W183S8750,"Racine Ave",Muskego,WI,"Waukesha County",53150,US,Waukesha
"Muskego Lakes Mid",Muskego-Norway,"Middle School",5,8,"Public school",Regular,No,"W124 S8009 North Cape Rd  Muskego WI  53150",Waukesha,1,03434,3857,10,38570010,5510170,01330,42.90026,-88.073252,1,rooftop,W124S8009,"N Cape Rd",Muskego,WI,"Waukesha County",53150,US,Waukesha
"Nash El",Kenosha,"Elementary School",K4,5,"Public school",Regular,No,"6801 99th Ave  Kenosha WI  53142-7574",Kenosha,1,00209,2793,170,27930170,5507320,02653,42.573373,-87.928636,1,rooftop,6801,"99th Ave",Kenosha,WI,"Kenosha County",53142,US,Kenosha
"Nasonville El","Marshfield Unified","Elementary School",KG,6,"Public school",Regular,No,"11044 US Highway 10  Marshfield WI  54449-9783",Wood,5,12724,3339,140,33390140,5508820,01022,44.599035,-90.265213,1,range_interpolation,11044,"Us Hwy 10",Marshfield,WI,"Wood County",54449,US,"TIGER/Line® dataset from the US Census Bureau"
"Nathan Hale Hi","West Allis-West Milwaukee","High School",9,12,"Public school",Regular,No,"11601 W Lincoln Ave  West Allis WI  53227-1096",Milwaukee,1,05545,6300,340,63000340,5516260,02117,43.001392,-88.056326,1,rooftop,11601,"W Lincoln Ave",Milwaukee,WI,"Milwaukee County",53227,US,Milwaukee
"Nature Hill Intermediate","Oconomowoc Area","Middle School",5,8,"Public school",Regular,No,"850 Lake Dr  Oconomowoc WI  53066",Waukesha,1,00388,4060,200,40600200,5510890,02795,43.131403,-88.48353,1,rooftop,850,"Lake Dr",Oconomowoc,WI,"Waukesha County",53066,US,Waukesha
"Necedah El","Necedah Area","Elementary School",K4,5,"Public school",Regular,No,"1801 S Main St  Necedah WI  54646-7858",Juneau,5,14766,3871,20,38710020,5510230,01337,44.000377,-90.074081,1,rooftop,1801,"S Main St",Necedah,WI,"Juneau County",54646,US,Statewide
"Necedah Hi","Necedah Area","High School",9,12,"Public school",Regular,No,"1801 S Main St  Necedah WI  54646-7858",Juneau,5,14767,3871,40,38710040,5510230,01338,44.000377,-90.074081,1,rooftop,1801,"S Main St",Necedah,WI,"Juneau County",54646,US,Statewide
"Necedah Mid","Necedah Area","Middle School",6,8,"Public school",Regular,No,"1801 S Main St  Necedah WI  54646-7858",Juneau,5,01784,3871,250,38710250,5510230,03099,44.000377,-90.074081,1,rooftop,1801,"S Main St",Necedah,WI,"Juneau County",54646,US,Statewide
"Neenah Creek El","Wisconsin Dells","Elementary School",KG,5,"Public school",Regular,No,"W8516 Highway X  Briggsville WI  53920",Marquette,5,09451,6678,50,66780050,5517040,00551,43.65498,-89.5854,1,place,,,Briggsville,WI,"Marquette County",53920,US,"TIGER/Line® dataset from the US Census Bureau"
"Neenah Hi","Neenah Joint","High School",9,12,"Public school",Regular,No,"1275 Tullar Rd  Neenah WI  54956-4498",Winnebago,6,17979,3892,180,38920180,5510320,01348,44.161904,-88.495336,1,rooftop,1275,"Tullar Rd",Neenah,WI,"Winnebago County",54956,US,Winnebago
"Neeskara El",Milwaukee,"Elementary School",K3,5,"Public school",Regular,No,"1601 N Hawley Rd  Milwaukee WI  53208-2116",Milwaukee,1,04641,3619,283,36190283,5509600,01224,43.051478,-87.983297,1,rooftop,1601,"N Hawley Rd",Milwaukee,WI,"Milwaukee County",53208,US,"City of Milwaukee"
"Neillsville El",Neillsville,"Elementary School",K4,6,"Public school",Regular,No,"504 E 5th St  Neillsville WI  54456-2024",Clark,10,12934,3899,20,38990020,5510350,01356,44.559705,-90.589934,1,range_interpolation,504,"E 5th St",Neillsville,WI,"Clark County",54456,US,"TIGER/Line® dataset from the US Census Bureau"
"Neillsville Mid/Hi",Neillsville,"High School",7,12,"Public school",Regular,No,"401 Center St  Neillsville WI  54456-2029",Clark,10,12936,3899,40,38990040,5510350,01357,44.559704,-90.590031,1,range_interpolation,401,"Center St",Neillsville,WI,"Clark County",54456,US,"TIGER/Line® dataset from the US Census Bureau"
"Nekoosa 4K",Nekoosa,"Elementary School",K4,0,"Public school",Regular,No,"500 S Section St  Nekoosa WI  54457-1499",Wood,5,00954,3906,150,39060150,5510380,03014,44.310224,-89.904505,1,rooftop,500,"S Section St",Nekoosa,WI,"Wood County",54457,US,Statewide
"Nekoosa Acad",Nekoosa,"High School",9,12,"Public school",Alternative,No,"Nekoosa High School 500 Cedar St Nekoosa WI  54457",Wood,5,00078,3906,400,39060400,5510380,02617,44.299968,-89.920843,1,place,,,Nekoosa,WI,"Wood County",54457,US,"TIGER/Line® dataset from the US Census Bureau"
"Nekoosa Hi",Nekoosa,"High School",9,12,"Public school",Regular,No,"500 Cedar St  Nekoosa WI  54457-1398",Wood,5,12970,3906,60,39060060,5510380,01360,44.309426,-89.910007,1,rooftop,500,"Cedar St",Nekoosa,WI,"Wood County",54457,US,Wood
"Nelson El",Grantsburg,"Elementary School",K4,0,"Public school",Regular,No,"11486 State Road 70  Grantsburg WI  54840-7134",Burnett,11,16622,2233,120,22330120,5505670,00604,45.772693,-92.573882,1,rooftop,11486,"State Rd 70",Grantsburg,WI,"Burnett County",54840,US,Burnett
"Netherwood Knoll El",Oregon,"Elementary School",PK,4,"Public school",Regular,No,"276 Soden Dr  Oregon WI  53575",Dane,2,07205,4144,40,41440040,5511100,01469,42.933918,-89.389642,0.33,place,,,Oregon,WI,"Dane County",53575,US,"TIGER/Line® dataset from the US Census Bureau"
"Nettie E Karcher Sch","Burlington Area","Middle School",7,8,"Public school",Regular,No,"225 Robert St  Burlington WI  53105-2299",Racine,2,02585,0777,40,07770040,5501890,00238,42.67062,-88.273101,1,rooftop,225,"Robert St",Burlington,WI,"Racine County",53105,US,Statewide
"New Auburn El","New Auburn","Elementary School",K4,6,"Public school",Regular,No,"704 N East St  New Auburn WI  54757",Barron,10,15937,3920,20,39200020,5510440,01362,45.209656,-91.556872,1,rooftop,704,"N East St","New Auburn",WI,"Barron County",54757,US,Statewide
"New Auburn Jr-Sr Hi","New Auburn","High School",7,12,"Public school",Regular,No,"704 N East St  New Auburn WI  54757",Barron,10,15938,3920,40,39200040,5510440,01363,45.209656,-91.556872,1,rooftop,704,"N East St","New Auburn",WI,"Barron County",54757,US,Statewide
"New Berlin Mid/Hi","New Berlin","High School",7,12,"Public school",Regular,No,"18695 W Cleveland Ave  New Berlin WI  53146-2231",Waukesha,1,03305,3925,140,39250140,5510470,01372,42.989443,-88.146056,1,rooftop,18695,"W Cleveland Ave","New Berlin",WI,"Waukesha County",53146,US,Waukesha
"New Century Sch","Verona Area","Elementary School",KG,5,"Public school",Regular,Charter,"420 Church St  Verona WI  53593",Dane,2,30553,5901,140,59010140,5515330,01186,42.989582,-89.536781,1,rooftop,420,"Church Ave",Verona,WI,"Dane County",53593,US,Dane
"New Directions Learning Comm","Kaukauna Area","Elementary School",K4,4,"Public school",Regular,Charter,"2601 Sullivan Ave  Kaukauna WI  54130",Outagamie,6,00657,2758,110,27580110,5507290,02878,44.259332,-88.279471,1,rooftop,2601,"Sullivan Ave",Kaukauna,WI,"Outagamie County",54130,US,Outagamie
"New Glarus El","New Glarus","Elementary School",K4,5,"Public school",Regular,No,"1420 2nd St  New Glarus WI  53574",Green,2,07185,3934,20,39340020,5510500,01375,42.805686,-89.634729,1,rooftop,1420,"2nd St","New Glarus",WI,"Green County",53574,US,Green
"New Glarus Hi","New Glarus","High School",9,12,"Public school",Regular,No,"1701 2nd St  New Glarus WI  53574",Green,2,07186,3934,40,39340040,5510500,01376,42.802124,-89.635467,1,rooftop,1701,"2nd St","New Glarus",WI,"Green County",53574,US,Green
"New Glarus Mid","New Glarus","Middle School",6,8,"Public school",Regular,No,"1619 2nd St  New Glarus WI  53574",Green,2,00770,3934,250,39340250,5510500,02929,42.803296,-89.635553,1,rooftop,1619,"2nd St","New Glarus",WI,"Green County",53574,US,Green
"New Holstein El","New Holstein","Elementary School",K4,5,"Public school",Regular,No,"2226 Park Ave  New Holstein WI  53061",Calumet,7,01742,3941,60,39410060,5510530,01378,43.952166,-88.097273,1,rooftop,2226,"Park Ave","New Holstein",WI,"Calumet County",53061,US,Calumet
"New Holstein Hi","New Holstein","High School",9,12,"Public school",Regular,No,"1715 Plymouth St  New Holstein WI  53061-1254",Calumet,7,01743,3941,80,39410080,5510530,01379,43.947185,-88.102657,1,rooftop,1715,"Plymouth St","New Holstein",WI,"Calumet County",53061,US,Calumet
"New Holstein Mid","New Holstein","Middle School",6,8,"Public school",Regular,No,"1717 Plymouth St  New Holstein WI  53061-1254",Calumet,7,71954,3941,200,39410200,5510530,02550,43.947185,-88.102657,1,rooftop,1717,"Plymouth St","New Holstein",WI,"Calumet County",53061,US,Calumet
"New Horizons for Learning",Shorewood,"High School",9,12,"Public school",Alternative,Charter,"1701 E Capitol Dr  Shorewood WI  53211-1996",Milwaukee,1,00143,5355,400,53550400,5513800,02623,43.087861,-87.889789,1,rooftop,1701,"E Capitol Dr",Milwaukee,WI,"Milwaukee County",53211,US,"City of Shorewood"
"New Lisbon El","New Lisbon","Elementary School",K4,6,"Public school",Regular,No,"500 S Forest St  New Lisbon WI  53950-0205",Juneau,5,09689,3948,40,39480040,5510560,01381,43.876044,-90.170413,1,rooftop,500,"S Forest St","New Lisbon",WI,"Juneau County",53950,US,Statewide
"New Lisbon Jr/Hi","New Lisbon","High School",7,12,"Public school",Regular,No,"500 S Forest St  New Lisbon WI  53950-0205",Juneau,5,09690,3948,60,39480060,5510560,01382,43.876044,-90.170413,1,rooftop,500,"S Forest St","New Lisbon",WI,"Juneau County",53950,US,Statewide
"New London Hi","New London","High School",9,12,"Public school",Regular,No,"1700 Klatt Rd  New London WI  54961-8603",Waupaca,6,18069,3955,80,39550080,5510590,01384,44.371802,-88.759282,1,rooftop,1700,"Klatt Rd","New London",WI,"Waupaca County",54961,US,Waupaca
"New London Mid","New London","Middle School",5,8,"Public school",Regular,No,"1000 W Washington St  New London WI  54961-1699",Waupaca,6,18072,3955,140,39550140,5510590,01388,44.386057,-88.750641,1,rooftop,1000,"W Washington St","New London",WI,"Waupaca County",54961,US,Waupaca
"New Path","Oconto Falls Public","High School",6,12,"Public school",Alternative,Charter,"320 Central Ave  Oconto Falls WI  54154",Oconto,8,00295,4074,410,40740410,5510950,02736,44.874719,-88.140735,0.9,rooftop,320,"E Central Ave","Oconto Falls",WI,"Oconto County",54154,US,Statewide
"New Richmond Early Childhood","New Richmond","Elementary School",PK,0,"Public school","Special Education",No,"967 S Starr Ave  New Richmond WI  54017-2346","Saint Croix",11,01701,3962,180,39620180,5510620,03079,45.113293,-92.532703,1,rooftop,967,"S Starr Ave","New Richmond",WI,"St. Croix County",54017,US,"St Croix"
"New Richmond Hi","New Richmond","High School",9,12,"Public school",Regular,No,"650 E Richmond Way  New Richmond WI  54017","Saint Croix",11,10192,3962,60,39620060,5510620,01390,45.098551,-92.525392,1,rooftop,650,"E Richmond Way","New Richmond",WI,"St. Croix County",54017,US,"St Croix"
"New Richmond Hillside El","New Richmond","Elementary School",KG,5,"Public school",Regular,No,"635 E Richmond Way  New Richmond WI  54017","Saint Croix",11,00395,3962,170,39620170,5510620,02789,45.101523,-92.525469,1,rooftop,635,"E Richmond Way","New Richmond",WI,"St. Croix County",54017,US,"St Croix"
"New Richmond Mid","New Richmond","Middle School",6,8,"Public school",Regular,No,"920 Riley Ave S  New Richmond WI  54017","Saint Croix",11,10191,3962,40,39620040,5510620,01391,45.113262,-92.531389,0.7,range_interpolation,920,"Riley Ave","New Richmond",WI,"St. Croix County",54017,US,"TIGER/Line® dataset from the US Census Bureau"
"New Richmond Paperjack El","New Richmond","Elementary School",KG,5,"Public school",Regular,No,"1011 E 11th St  New Richmond WI  54017","Saint Croix",11,10189,3962,10,39620010,5510620,00225,45.111975,-92.522681,0.8,rooftop,1011,11th,"New Richmond",WI,"St. Croix County",54017,US,"St Croix"
"New Richmond Starr El","New Richmond","Elementary School",KG,5,"Public school",Regular,No,"967 S Starr Ave  New Richmond WI  54017-2346","Saint Croix",11,10190,3962,20,39620020,5510620,01389,45.113293,-92.532703,1,rooftop,967,"S Starr Ave","New Richmond",WI,"St. Croix County",54017,US,"St Croix"
"Next Door Charter",Milwaukee,"Elementary School",K3,0,"Public school",Regular,Charter,"2545 N 29th St  Milwaukee WI  53210-3116",Milwaukee,1,45825,3619,1141,36191141,5509600,01341,43.064905,-87.950474,1,rooftop,2545,"N 29th St",Milwaukee,WI,"Milwaukee County",53210,US,"City of Milwaukee"
"Niagara El",Niagara,"Elementary School",K4,6,"Public school",Regular,No,"700 Jefferson Ave  Niagara WI  54151-1221",Marinette,8,10947,3969,20,39690020,5510680,01393,45.781912,-88.00349,1,range_interpolation,700,"Jefferson Ave",Niagara,WI,"Marinette County",54151,US,"TIGER/Line® dataset from the US Census Bureau"
"Niagara Hi",Niagara,"High School",7,12,"Public school",Regular,No,"700 Jefferson Ave  Niagara WI  54151-1221",Marinette,8,10948,3969,40,39690040,5510680,01394,45.781912,-88.00349,1,range_interpolation,700,"Jefferson Ave",Niagara,WI,"Marinette County",54151,US,"TIGER/Line® dataset from the US Census Bureau"
"Nicolet El","Green Bay Area Public","Elementary School",K4,5,"Public school",Regular,No,"1309 Elm St  Green Bay WI  54302-1304",Brown,7,11849,2289,440,22890440,5505820,00634,44.512837,-87.993799,1,rooftop,1309,"Elm St","Green Bay",WI,"Brown County",54302,US,Brown
"Nicolet El","Menasha Joint","Elementary School",3,5,"Public school",Regular,No,"449 Ahnaip St  Menasha WI  54952-3374",Winnebago,6,17922,3430,140,34300140,5509030,02337,44.197032,-88.446665,1,rooftop,449,"Ahnaip St",Menasha,WI,"Winnebago County",54952,US,Winnebago
"Nicolet Hi","Nicolet UHS","High School",9,12,"Public school",Regular,No,"6701 N Jean Nicolet Rd  Glendale WI  53217-3799",Milwaukee,1,05123,2177,20,21770020,5505490,00584,43.140899,-87.913766,1,rooftop,6701,"N Jean Nicolet Rd",Milwaukee,WI,"Milwaukee County",53217,US,Milwaukee
"Nikolay Mid",Cambridge,"Middle School",6,8,"Public school",Regular,No,"211 South St  Cambridge WI  53523-9617",Dane,2,06232,0896,60,08960060,5502100,00298,43.00224,-89.015979,1,rooftop,211,"South St",Cambridge,WI,"Dane County",53523,US,Dane
"Ninety-Fifth Street El",Milwaukee,"Elementary School",K3,5,"Public school",Regular,No,"3707 N 94th St  Milwaukee WI  53222-2613",Milwaukee,1,05356,3619,289,36190289,5509600,01225,43.084425,-88.030988,1,rooftop,3707,"N 94th St",Milwaukee,WI,"Milwaukee County",53222,US,"City of Milwaukee"
"Norris Acad",Norris,"Combined Elementary/Secondary School",3,12,"Public school",Regular,No,"W247S10395 Center Dr  Mukwonago WI  53149-9145",Waukesha,1,03389,3976,20,39760020,5510710,01395,42.855073,-88.24206,1,rooftop,W247S10395,"Center Dr",Mukwonago,WI,"Waukesha County",53149,US,Waukesha
"Norris Acad Virtual Sch",Norris,"Combined Elementary/Secondary School",KG,12,"Public school",Alternative,Charter,"W247S10395 Centr Dr  Mukwonago WI  53149-9145",Waukesha,1,01573,3976,800,39760800,5510710,03072,42.855073,-88.24206,1,rooftop,W247S10395,"Center Dr",Mukwonago,WI,"Waukesha County",53149,US,Waukesha
"North Cape El","North Cape","Elementary School",K4,8,"Public school",Regular,No,"11926 W Highway K  Franksville WI  53126-9691",Racine,2,02907,4690,20,46900020,5512510,01657,42.785553,-87.995471,0.33,place,,,Franksville,WI,"Racine County",53126,US,"TIGER/Line® dataset from the US Census Bureau"
"North Crawford El","North Crawford","Elementary School",K4,8,"Public school",Regular,No,"47050 County Road X  Soldiers Grove WI  54655-8551",Crawford,3,14630,2016,110,20160110,5504980,02244,43.369813,-90.808363,0.33,place,,,"Soldiers Grove",WI,"Crawford County",54655,US,"TIGER/Line® dataset from the US Census Bureau"
"North Crawford Hi","North Crawford","High School",9,12,"Public school",Regular,No,"47050 County Road X  Soldiers Grove WI  54655-8551",Crawford,3,14631,2016,120,20160120,5504980,00543,43.369813,-90.808363,0.33,place,,,"Soldiers Grove",WI,"Crawford County",54655,US,"TIGER/Line® dataset from the US Census Bureau"
"North Division Hi 0419",Milwaukee,"High School",9,12,"Public school",Regular,No,"1011 W Center St  Milwaukee WI  53206-3262",Milwaukee,1,00307,3619,419,36190419,5509600,02730,43.066706,-87.925832,1,rooftop,1011,"W Center St",Milwaukee,WI,"Milwaukee County",53206,US,"City of Milwaukee"
"North El","Antigo Unified","Elementary School",PK,5,"Public school",Regular,No,"506 Graham Ave  Antigo WI  54409-2265",Langlade,9,12391,0140,180,01400180,5500360,00042,45.147401,-89.148661,1,rooftop,506,"Graham Ave",Antigo,WI,"Langlade County",54409,US,Statewide
"North El","Hartland-Lakeside J3","Elementary School",K4,2,"Public school",Regular,No,"232 Church St  Hartland WI  53029-1704",Waukesha,1,01303,2460,20,24600020,5506140,02257,43.107101,-88.342234,1,rooftop,232,"Church St",Hartland,WI,"Waukesha County",53029,US,Waukesha
"North Freedom El",Baraboo,"Elementary School",KG,5,"Public school",Regular,No,"S4890 County Road I  North Freedom WI  53951",Sauk,5,09712,0280,140,02800140,5500810,00107,43.4031,-89.872232,1,place,,,"North Freedom",WI,"Sauk County",53951,US,"TIGER/Line® dataset from the US Census Bureau"
"North Greenville El","Hortonville Area","Elementary School",K4,4,"Public school",Regular,No,"N2468 Learning Way  Greenville WI  54942",Outagamie,6,00874,2583,160,25830160,5506600,02958,44.286983,-88.556406,1,place,,,Greenville,WI,"Outagamie County",54942,US,"TIGER/Line® dataset from the US Census Bureau"
"North Hi","Appleton Area","High School",9,12,"Public school",Regular,No,"5000 N Ballard Rd  Appleton WI  54913-8942",Outagamie,6,26962,0147,30,01470030,5500390,00597,44.314479,-88.373511,1,rooftop,5000,"N Ballard Rd",Appleton,WI,"Outagamie County",54913,US,Outagamie
