SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Davey El","Eau Claire Area","Elementary School",KG,5,"Public school",Regular,No,"3000 Starr Ave  Eau Claire WI  54703-0916","Eau Claire",10,15313,1554,500,15540500,5504050,00438,44.851403,-91.478239,1,rooftop,3000,"Starr Ave","Eau Claire",WI,"Eau Claire County",54703,US,Statewide
"DCE 4K Community Partnership","D C Everest Area","Elementary School",K4,0,"Public school",Regular,No,"1610 Pine Rd  Rothschild WI  54474-8839",Marathon,9,00807,4970,190,49700190,5513170,02963,44.852742,-89.633891,1,rooftop,1610,"Pine Rd",Rothschild,WI,"Marathon County",54474,US,Marathon
"De Forest Hi","De Forest Area","High School",9,12,"Public school",Regular,No,"815 Jefferson St  De Forest WI  53532-1322",Dane,2,06360,1316,40,13160040,5503180,00355,43.243609,-89.326527,1,rooftop,815,"Jefferson St","De Forest",WI,"Dane County",53532,US,Dane
"De Forest Mid","De Forest Area","Middle School",5,8,"Public school",Regular,No,"404 Yorktown Rd  De Forest WI  53532-1600",Dane,2,06361,1316,50,13160050,5503180,00356,43.241501,-89.33697,1,range_interpolation,404,"Yorktown Rd","De Forest",WI,"Dane County",53532,US,"TIGER/Line® dataset from the US Census Bureau"
"De Pere Hi","De Pere","High School",9,12,"Public school",Regular,No,"1700 Chicago St  De Pere WI  54115",Brown,7,10510,1414,20,14140020,5503210,00361,44.441014,-88.042563,1,rooftop,1700,"Chicago St","De Pere",WI,"Brown County",54115,US,Brown
"De Pere Mid","De Pere","Middle School",7,8,"Public school",Regular,No,"700 Swan Rd  De Pere WI  54115",Brown,7,10511,1414,30,14140030,5503210,00362,44.436715,-88.038374,1,rooftop,700,"Swan Rd","De Pere",WI,"Brown County",54115,US,Brown
"De Soto Hi","De Soto Area","High School",9,12,"Public school",Regular,No,"615 Main St  De Soto WI  54624-8644",Vernon,4,14564,1421,40,14210040,5503240,00365,43.428575,-91.195675,1,rooftop,615,"Main St","De Soto",WI,"Vernon County",54624,US,Vernon
"De Soto Mid","De Soto Area","Middle School",6,8,"Public school",Regular,No,"615 Main St  De Soto WI  54624-8644",Vernon,4,14565,1421,50,14210050,5503240,00366,43.428575,-91.195675,1,rooftop,615,"Main St","De Soto",WI,"Vernon County",54624,US,Vernon
"De Soto Virtual Sch","De Soto Area","Combined Elementary/Secondary School",KG,12,"Public school",Regular,Charter,"615 Main St  De Soto WI  54624-8644",Vernon,4,01023,1421,810,14210810,5503240,03022,43.428575,-91.195675,1,rooftop,615,"Main St","De Soto",WI,"Vernon County",54624,US,Vernon
"Decorah El","West Bend","Elementary School",KG,4,"Public school",Regular,No,"1225 Sylvan Way  West Bend WI  53095-5099",Washington,6,02459,6307,40,63070040,5516290,02127,43.4038,-88.17388,1,rooftop,1225,"Sylvan Way","West Bend",WI,"Washington County",53095,US,"City of West Bend"
"Deer Creek Intermediate","Saint Francis","Elementary School",4,8,"Public school",Regular,No,"3680 S Kinnickinnic Ave  Saint Francis WI  53235-3742",Milwaukee,1,05689,5026,20,50260020,5513260,01747,42.978034,-87.875583,1,rooftop,3680,"S Kinnickinnic Ave","Saint Francis",WI,"Milwaukee County",53235,US,Milwaukee
"Deerfield El","Deerfield Community","Elementary School",K4,6,"Public school",Regular,No,"340 W Quarry St  Deerfield WI  53531-9522",Dane,2,06340,1309,20,13090020,5503270,00370,43.048359,-89.082466,1,range_interpolation,340,"W Quarry St",Deerfield,WI,"Dane County",53531,US,"TIGER/Line® dataset from the US Census Bureau"
"Deerfield El","Oak Creek-Franklin Joint","Elementary School",PK,5,"Public school",Regular,No,"3871 E Bluestem Dr  Oak Creek WI  53154",Milwaukee,1,00007,4018,150,40180150,5510830,02618,42.853756,-87.856021,1,rooftop,3871,"E Bluestem Dr","Oak Creek",WI,"Milwaukee County",53154,US,Milwaukee
"Deerfield Hi","Deerfield Community","High School",9,12,"Public school",Regular,No,"300 Simonson Blvd  Deerfield WI  53531-9543",Dane,2,06341,1309,40,13090040,5503270,00371,43.0464,-89.080427,1,rooftop,300,"Simonson Blvd",Deerfield,WI,"Dane County",53531,US,Dane
"Deerfield Mid","Deerfield Community","Middle School",7,8,"Public school",Regular,No,"300 Simonson Blvd  Deerfield WI  53531-9543",Dane,2,06342,1309,60,13090060,5503270,00372,43.0464,-89.080427,1,rooftop,300,"Simonson Blvd",Deerfield,WI,"Dane County",53531,US,Dane
"Delavan-Darien Hi",Delavan-Darien,"High School",9,12,"Public school",Regular,No,"150 Cummings St  Delavan WI  53115-1673",Walworth,2,02720,1380,20,13800020,5503640,00386,42.631234,-88.66076,1,rooftop,150,"Cummings St",Delavan,WI,"Walworth County",53115,US,Walworth
